id;name;surname;phoneNumber
1;Anna;Shapiro;054176723675
2;Vasilisa;Moroz;054321526883
3;Alex;Duma;054516095458
4;Olga;Mironenko;054479694750
5;Anna;Galich;054668698114
6;Svetlana;Galich;054384749931
7;Alex;Sidorenko;054121927964
8;Olga;Sidorenko;054909746951
9;Anna;Kovalenko;054788563446
10;Alex;Shagal;054613067374
11;Svetlana;Duma;054970542269
12;Alex;Mironenko;054596193101
13;Miron;Mironenko;054314906001
14;Svetlana;Moroz;054649529636
15;Anna;Duma;054157271460
16;Igor;Shapiro;054581569074
17;Miron;Kovalenko;054354928453
18;Alex;Sidorenko;054811281807
19;Igor;Duma;054798458527
20;Alex;Sidorenko;054486836682
21;Anna;Moroz;054746699017
22;Svetlana;Sidorenko;054772958150
23;Anna;Kovalenko;054402155257
24;Olga;Shagal;054822830883
25;Vasilisa;Duma;054653017694
26;Igor;Shagal;054431499732
27;Viktor;Mironenko;054848274629
28;Viktor;Galich;054214129468
29;Igor;Duma;054604816664
30;Svetlana;Shapiro;054862800181
31;Svetlana;Shagal;054644436460
32;Anna;Moroz;054741953332
33;Anna;Duma;054368227251
34;Anton;Kovalenko;054166488517
35;Anna;Duma;054871892308
36;Anna;Mironenko;054887088358
37;Vasilisa;Moroz;054375587813
38;Anna;Duma;054691753604
39;Olga;Sidorenko;054879026643
40;Anna;Shapiro;054153306208
41;Vasilisa;Galich;054100303983
42;Anna;Kovalenko;054888041218
43;Alex;Galich;054851068233
44;Inna;Duma;054805111838
45;Svetlana;Kovalenko;054629277846
46;Svetlana;Duma;054480360327
47;Anton;Galich;054418444186
48;Viktor;Shapiro;054161831769
49;Igor;Duma;054207936586
50;Alex;Duma;054712953649
51;Anna;Duma;054717525804
52;Svetlana;Mironenko;054951332028
53;Anna;Duma;054206027616
54;Alex;Kovalenko;054635062803
55;Vasilisa;Kovalenko;054013416680
56;Igor;Shapiro;054418201242
57;Inna;Duma;054408951983
58;Olga;Mironenko;054146656724
59;Olga;Duma;054106985192
60;Vasilisa;Moroz;054068720303
61;Vasilisa;Duma;054323423886
62;Olga;Sidorenko;054520779572
63;Vasilisa;Moroz;054371283753
64;Olga;Shapiro;054469289130
65;Anton;Duma;054219225482
66;Anna;Moroz;054698297467
67;Vasilisa;Duma;054751076482
68;Miron;Duma;054805332906
69;Olga;Shagal;054943879941
70;Olga;Duma;054182889767
71;Alex;Sidorenko;054238117669
72;Anton;Kovalenko;054858551602
73;Svetlana;Sidorenko;054690452319
74;Miron;Duma;054511510377
75;Anna;Kovalenko;054472396070
76;Anton;Galich;054086889444
77;Inna;Sidorenko;054547416088
78;Anton;Shapiro;054497304399
79;Anton;Shapiro;054093061799
80;Miron;Moroz;054368512129
81;Igor;Mironenko;054045305388
82;Viktor;Shapiro;054371641970
83;Svetlana;Sidorenko;054597977984
84;Vasilisa;Shagal;054711552296
85;Viktor;Moroz;054750964891
86;Olga;Moroz;054771443840
87;Anna;Galich;054193455555
88;Olga;Shagal;054143584384
89;Miron;Shagal;054324527658
90;Vasilisa;Duma;054968787152
91;Vasilisa;Duma;054431775477
92;Anna;Shapiro;054758978375
93;Inna;Sidorenko;054610765708
94;Anna;Shapiro;054572271806
95;Inna;Shagal;054797586752
96;Anton;Shapiro;054011868275
97;Alex;Duma;054453802112
98;Svetlana;Moroz;054568829270
99;Svetlana;Shapiro;054587741935
100;Anna;Kovalenko;054523818767
